Entry;Country;Site_Name;Sample_Id;Biome 1;Biome 2;Region;Valley, locality, closest town, political jurisdiction;Latitude (WGS 84);Longitude (WGS 84);Altitude (masl);Exact_coordinates?;Site location_radius (km);Ref_coordinates;Archaeological_site_description;Archaeological_site_function;Archeological_Culture;Relative_chronology (Period/phase) ;Relative_date_from;Relative_date_to;Age_System_Relative;Absolute_chronology_method;Radiocarbon_Lab_Code;Conventional 14C_date (BP);Error (±1σ);Calibrated/modelled 14C (95%)_from;Calibrated/modelled 14C (95%)_to;Age_System_Absolute;Material_dated;Lab_Id;Type_source;Taxon/local name;Genus/Species;Phostosynthetic_Pathway;Plant_domesticate;Sample_type;wt%C;wt%N;C:N;δ13C;δ15N;δ34S;δ18O;87Sr/86Sr;Other_isotope_or analytical value;Description_ of_ other_isotope_or_analytical_value;Extra_information;Description_of_extra_information;Additional_info_source;Preservation_criteria ;Comments;Original_Reference;Original_Full_Reference;Compilation_Reference;Compilation_Full_Reference;Link_ to_source;Link_to_source_2;;;;;;;;;;;;;;;;;
27;Argentina;Ojo de Agua;34510;Montane grasslands and shrublands;Andean Puna;Northwest of Argentina;Jujuy Puna, Susques, Jujuy province;-23.3857;-66.3759;3650;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;34510;Terrestrial flora;;Unknown;;No;leaves and stems;;;;-27.3;2.9;;;;;;herb;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
28;Argentina;Lapao;Deyeuxia sp.;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31718;Terrestrial flora;;Deyeuxia sp.;;No;leaves and flower;;;;-23.8;5.9;;;;;;grass;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
29;Argentina;Lapao;Deyeuxia sp.;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31651;Terrestrial flora;;Deyeuxia sp.;;No;leaves and flower;;;;-23.9;7.4;;;;;;grass;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
30;Argentina;Lapao;Deyeuxia sp.;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31652;Terrestrial flora;;Deyeuxia sp.;;No;leaves and stems;;;;-25.1;5.8;;;;;;grass;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
31;Argentina;Lapao;Distichlis aff. humilis;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31646;Terrestrial flora;;Distichlis aff. humilis;;No;leaves;;;;-12.2;8.2;;;;;;grass;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
32;Argentina;Lapao;Distichlis aff. humilis;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31647;Terrestrial flora;;Distichlis aff. humilis;;No;leaves;;;;-12.6;7.5;;;;;;grass;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
33;Argentina;Lapao;Eleocharis pseudoalbibracteata ;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31953;Terrestrial flora;;Eleocharis pseudoalbibracteata ;;No;leaves and flower;;;;-25.4;3.2;;;;;;segde;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
34;Argentina;Lapao;Eleocharis sp. ;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31720;Terrestrial flora;;Eleocharis sp. ;;No;leaves and flower;;;;-24.4;9.6;;;;;;segde;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
35;Argentina;Lapao;Halerpestes exilis;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31958;Terrestrial flora;;Halerpestes exilis;;No;leaves, stem and flower;;;;-25.6;0.3;;;;;;herb;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
36;Argentina;Lapao;Halerpestes exilis ;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31956;Terrestrial flora;;Halerpestes exilis ;;No;leaves, stem and flower;;;;-25.7;1.3;;;;;;herb;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
37;Argentina;Lapao;Lilaeopsis macloviana ;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31955;Terrestrial flora;;Lilaeopsis macloviana ;;No;leaves;;;;-25.0;10.0;;;;;;herb;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
38;Argentina;Lapao;Lilaeopsis macloviana ;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31957;Terrestrial flora;;Lilaeopsis macloviana ;;No;leaves, stem and flower;;;;-26.7;0.5;;;;;;herb;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
39;Argentina;Lapao;Lilaeopsis macloviana ;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31952;Terrestrial flora;;Lilaeopsis macloviana ;;No;leaves;;;;-26.3;2.6;;;;;;herb;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
40;Argentina;Lapao;Lobelia oligophylla ;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31954;Terrestrial flora;;Lobelia oligophylla ;;No;leaves, stem and flower;;;;-26.3;1.9;;;;;;herb;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
41;Argentina;Lapao;Parastrephia lepidophylla;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31653;Terrestrial flora;;Parastrephia lepidophylla;;No;leaves, stem and flower;;;;-25.0;8.6;;;;;;shrub;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
42;Argentina;Lapao;31648;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31648;Terrestrial flora;;Undetermined;;No;leaves and stems;;;;-25.7;5.4;;;;;;herb;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
43;Argentina;Lapao;31649;Montane grasslands and shrublands;Andean Puna (Dry Puna);Northwest of Argentina;Susques, Jujuy province;-23.3671;-66.366;3660;Exact;;Samec et al. (2017);;;;Modern;;;;;;;;;;;;31649;Terrestrial flora;;Undetermined;;No;leaves and stems;;;;-25.8;7.7;;;;;;herb;Type of plant;Samec, C.T. (2014). Ecología Isotópica en la Puna Seca de Argentina: un marco de referencia para el estudio de las estrategias de pastoreo en el pasado. Cuadernos del Instituto Nacional de Antropología y Pensamiento Latinoamericano - Series Especiales, 2 (1),  61-85.;1;This study report values of C and N of modern plants(i. e., natural pastures) to establish baseline isotopic values for the dry Puna of Argentina.;Samec et al. (2017);Samec, C., Yacobaccio, H.D., & Panarello, H.O. (2017). Carbon and nitrogen isotope composition of natural pastures in the dry Puna of Argentina: a baseline for the study of prehistoric herd management strategies. Archaeological and Anthropological Sciences, 9:153–163.;;;DOI 10.1007/s12520-015-0263-2;DOI 10.1007/s12520-015-0263-2;;;;;;;;;;;;;;;;;
